species,eventDate,decimalLongitude,decimalLatitude
Bathylagus antarcticus,1999-01-23,157.886,-54.851
Bathylagus antarcticus,1999-01-23,157.923,-54.77
Bathylagus antarcticus,1999-01-23,157.902,-54.79
Bathylagus antarcticus,1999-01-23,157.86,-54.837
Bathylagus antarcticus,1999-01-26,159.088,-53.867
Bathylagus antarcticus,1999-01-26,159.052,-53.905
Bathylagus antarcticus,1999-01-26,159.069,-53.886
Bathylagus antarcticus,1999-01-26,159.11,-53.833
Bathylagus antarcticus,1999-01-27,159.046,-53.918
Bathylagus antarcticus,1999-01-27,159.064,-53.898
Bathylagus antarcticus,1999-01-28,159.468,-53.414
Bathylagus antarcticus,1999-01-28,159.65,-53.37
Bathylagus antarcticus,1999-01-28,159.775,-53.401
Bathylagus antarcticus,1999-01-28,159.601,-53.376
Bathylagus antarcticus,1999-01-28,159.428,-53.427
Bathylagus antarcticus,1999-01-28,159.736,-53.393
Bathylagus antarcticus,1999-01-28,159.694,-53.381
Bathylagus antarcticus,1999-01-28,159.647,-53.304
Bathylagus antarcticus,1999-01-28,159.61,-53.34
Bathylagus antarcticus,1999-01-31,160.257,-52.395
Bathylagus antarcticus,1999-02-19,-55.5042,-60.001
Bathylagus antarcticus,1999-02-24,-57.5002,-62.2507
Bathylagus antarcticus,2000-01-01,-60.95,-64.15
Bathylagus antarcticus,2001-01-01,-59.233,-62.3
Bathylagus antarcticus,2002-01-17,-60.9969,-62.2505
Bathylagus antarcticus,2002-01-25,-54.5056,-61.2521
Bathylagus antarcticus,2003-01-14,-57.3053,-62.049
Bathylagus antarcticus,2004-02-27,-55.7766,-61.7513
Bathylagus antarcticus,2004-02-29,-54.988,-61.7547
Bathylagus antarcticus,2004-03-05,162.4415,-66.21617
Bathylagus antarcticus,2004-03-17,-39.5794,-53.7004
Bathylagus antarcticus,2004-03-19,-40.1654,-53.4848
Bathylagus antarcticus,2004-03-20,-39.449,-53.4941
Bathylagus antarcticus,2004-03-22,-37.1839,-53.3879
Bathylagus antarcticus,2004-03-23,-37.9495,-53.3167
Bathylagus antarcticus,2004-03-29,-38.66245,-53.72196
Bathylagus antarcticus,2005-11-24,-3.014,-63.516
Bathylagus antarcticus,2005-11-25,-3.037,-62.01
Bathylagus antarcticus,2005-11-25,-3.003,-62.511
Bathylagus antarcticus,2005-12-10,2.987,-64.511
Bathylagus antarcticus,2005-12-14,0.017,-60.016
Bathylagus antarcticus,2005-12-16,0.009,-63.515
Bathylagus antarcticus,2005-12-17,-0.007,-64.984
Bathylagus antarcticus,2005-12-17,-0.001,-65.508
Bathylagus antarcticus,2005-12-18,0.009,-67.515
Bathylagus antarcticus,2005-12-21,-3.046,-69.492
Bathylagus antarcticus,2005-12-21,-3.003,-68.482
Bathylagus antarcticus,2005-12-22,-3.025,-66.499
Bathylagus antarcticus,2005-12-23,-3.021,-65.008
Bathylagus antarcticus,2005-12-23,-3.051,-64.508
Bathylagus antarcticus,2005-12-23,-3.022,-65.51
Bathylagus antarcticus,2005-12-26,-2.958,-60.006
Bathylagus antarcticus,2005-12-26,-2.972,-60.501
Bathylagus antarcticus,2005-12-27,-5.983,-61.018
Bathylagus antarcticus,2005-12-27,-6.011,-60.523
Bathylagus antarcticus,2005-12-28,-6.019,-62.518
Bathylagus antarcticus,2005-12-28,-5.988,-62.01
Bathylagus antarcticus,2005-12-29,-6.033,-64.499
Bathylagus antarcticus,2005-12-29,-6.026,-64.004
Bathylagus antarcticus,2005-12-30,-6.032,-66.488
Bathylagus antarcticus,2005-12-30,-6.029,-65.986
Bathylagus antarcticus,2005-12-30,-6.023,-66.987
Bathylagus antarcticus,2005-12-31,-6.036,-68.469
Bathylagus antarcticus,2006-01-17,-60.9902,-62.2513
Bathylagus antarcticus,2006-01-17,-61.4816,-61.5246
Bathylagus antarcticus,2006-01-21,-57.4909,-61.5004
Bathylagus antarcticus,2006-01-25,-54.9882,-60.4998
Bathylagus antarcticus,2006-10-29,-50.4461,-57.6371
Bathylagus antarcticus,2006-10-30,-50.6028,-57.7828
Bathylagus antarcticus,2006-10-30,-50.4612,-57.6973
Bathylagus antarcticus,2006-10-30,-50.6492,-57.7935
Bathylagus antarcticus,2006-11-01,-48.7759,-60.4529
Bathylagus antarcticus,2006-11-01,-48.761,-60.4845
Bathylagus antarcticus,2006-11-02,-48.8584,-60.6193
Bathylagus antarcticus,2006-11-06,-44.53647,-60.42984
Bathylagus antarcticus,2006-11-07,-44.3925,-60.4251
Bathylagus antarcticus,2006-11-07,-44.47932,-60.41514
Bathylagus antarcticus,2006-11-08,-44.1649,-59.6201
Bathylagus antarcticus,2006-11-09,-44.1099,-59.5966
Bathylagus antarcticus,2006-11-09,-44.2125,-59.6002
Bathylagus antarcticus,2006-11-09,-44.3036,-59.5407
Bathylagus antarcticus,2008-01-05,-48.2644,-60.5328
Bathylagus antarcticus,2008-01-05,142.92,-65.766
Bathylagus antarcticus,2008-01-05,142.859,-65.744
Bathylagus antarcticus,2008-01-05,142.92,-65.7658
Bathylagus antarcticus,2008-01-05,142.92,-65.77
Bathylagus antarcticus,2008-01-06,-48.2527,-60.5997
Bathylagus antarcticus,2008-01-06,-48.2372,-60.5849
Bathylagus antarcticus,2008-01-12,-44.4731,-60.1972
Bathylagus antarcticus,2008-01-13,-44.549,-60.1959
Bathylagus antarcticus,2008-01-13,-44.75,-60.1866
Bathylagus antarcticus,2008-01-16,-44.0936,-59.6771
Bathylagus antarcticus,2008-01-16,-44.1303,-59.7083
Bathylagus antarcticus,2008-01-16,-44.0662,-59.6912
Bathylagus antarcticus,2008-01-16,-44.0582,-59.6866
Bathylagus antarcticus,2008-01-17,140.452,-65.637
Bathylagus antarcticus,2008-01-25,-56.4948,-60.5051
Bathylagus antarcticus,2008-01-29,139.99,-61.97
Bathylagus antarcticus,2008-01-30,140.01,-63.03
Bathylagus antarcticus,2008-02-19,177.22,-72.8
Bathylagus antarcticus,2008-02-25,174.104,-71.897
Bathylagus antarcticus,2008-02-26,174.87175,-71.32842
Bathylagus antarcticus,2008-02-27,-54.0093,-60.4948
Bathylagus antarcticus,2008-02-27,-53.9826,-61.754
Bathylagus antarcticus,2008-02-28,-54.5062,-60.2512
Bathylagus antarcticus,2008-02-28,-54.0087,-60.2442
Bathylagus antarcticus,2008-02-28,-54.5077,-60.755
Bathylagus antarcticus,2008-02-28,-54.5079,-61.2563
Bathylagus antarcticus,2008-02-29,-55.0113,-60.2496
Bathylagus antarcticus,2008-02-29,-54.9952,-61.251
Bathylagus antarcticus,2008-02-29,-55.0074,-60.7441
Bathylagus antarcticus,2008-02-29,-54.9997,-60.9944
Bathylagus antarcticus,2008-02-29,-55.0168,-60.4971
Bathylagus antarcticus,2008-02-29,-55.0065,-61.5088
Bathylagus antarcticus,2008-03-01,-55.016,-60.0036
Bathylagus antarcticus,2008-03-02,-55.7363,-60.7537
Bathylagus antarcticus,2008-03-02,-55.73,-61.5037
Bathylagus antarcticus,2008-03-02,-55.735,-61.7527
Bathylagus antarcticus,2008-03-02,-56.4863,-61.7519
Bathylagus antarcticus,2008-03-02,-55.7404,-60.5079
Bathylagus antarcticus,2008-03-02,-179.38,-68.13
Bathylagus antarcticus,2008-03-03,-56.4885,-60.2475
Bathylagus antarcticus,2008-03-03,-56.4841,-61.4998
Bathylagus antarcticus,2008-03-03,-56.4817,-61.2505
Bathylagus antarcticus,2008-03-03,-56.4871,-60.9968
Bathylagus antarcticus,2008-03-03,-56.4993,-60.0052
